status,category,topic,style,favorite,channel_url,channel_id
active,Knick Knacks and Thingamajigs,tech,show and tell,,http://www.youtube.com/@Techmoan,UC5I2hjZYiW9gZPVkvzM8_Cw
active,Knick Knacks and Thingamajigs,tech,talking head,,http://www.youtube.com/@TechnologyConnections,UCy0tKL1T7wFoYcxCe0xjN6Q
test,missingtest,,,,http://www.youtube.com/@AllyHills,
active,Misc Science Commentary,physical science,talking head,,https://www.youtube.com/@StarTalk,UCqoAEDirJPjEUFcF2FklnBA
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@astropro1,UCDW13ycIiHcl4QVN-YwVy0w
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@astrumspace,UC-9b7aDP6ZN0coj9-xFnrtw
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@pbsspacetime,UC7_gcs09iThXybpVgjHZ_7g
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@whatdamath,UCciQ8wFcVoIIMi-lfu8-cjQ
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@AmyShiraTeitel,UCw95T_TgbGHhTml4xZ9yIqg
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@acollierastro,UCtscFf8VayggrDYjOwDke_Q
active,Misc Science Commentary,physical science,,,http://www.youtube.com/@MinuteEarth,UCeiYXex_fwgYDonaTcSIk6w
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@veritasium,UCHnyfMqiRRG1u-2MsSQLbXA
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@PracticalEngineeringChannel,UCMOqf8ab-42UUQIdVoKwjlQ
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@smartereveryday,UC6107grRI4m0o2-emgoDnAA
active,Misc Science Commentary,physical science,show and tell,,http://www.youtube.com/@SteveMould,UCEIwxahdLz7bap-VDs9h35A
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@engineerguyvideo,UC2bkHVIDjXS7sgrgjFtzOXQ
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@SabineHossenfelder,UC1yNl2E66ZzKApQdRuTQ4tw
active,Misc Science Commentary,physical science,,,http://www.youtube.com/@MinutePhysics,UCUHW94eEFW7hkUMVaZz4eDg
active,Misc Science Commentary,physical science,,favorite,http://www.youtube.com/@physicsforthebirds,UCeXksuVW8H1x9v4gh7DWoyQ
active,Misc Science Commentary,physical science,show and tell,,http://www.youtube.com/@periodicvideos,UCtESv1e7ntJaLJYKIO1FoYw
active,Misc Science Commentary,physical science,show and tell,,http://www.youtube.com/@Thoisoi2,UC3j3w-oUtIAm_KI857ydvUA
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@illinoisenergyprof6878,UCKH_iLhhkTyt8Dk4dmeCQ9w
active,Misc Science Commentary,social science,,,http://www.youtube.com/@CGPGrey,UC2C_jShtL725hvbm1arSV9w
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@kylehill,UCFbtcTaMFnOAP0pFO1L8hVw
active,Misc Science Commentary,physical science,show and tell,,http://www.youtube.com/@TheActionLab,UC1VLQPn9cYSqx8plbk9RxxQ
active,Misc Science Commentary,,talking head,,http://www.youtube.com/@TheDoctorsBjorkman,UCKwQjav6uPCFPIDL6SXjNqQ
active,Misc Science Commentary,social science,,,http://www.youtube.com/@econimate,UCV7OupzIpYe9oIn_QSlyfJw
active,Misc Science Commentary,math,,,http://www.youtube.com/@KieranBorovac,UCWul-fy84WOBE_YMcw7uJ9w
active,Misc Science Commentary,tech,,,http://www.youtube.com/@BennJordan,UCshObcm-nLhbu8MY50EZ5Ng
active,Misc Science Commentary,physical science,,,http://www.youtube.com/@AlphaPhoenixChannel,UCCWeRTgd79JL0ilH0ZywSJA
active,Misc Science Commentary,making things,,,http://www.youtube.com/@sirrandalot,UCNq1BjOvgnPx596ddBE3wZQ
active,Misc Science Commentary,social science,talking head,,http://www.youtube.com/@MoneyMacro,UCCKpicnIwBP3VPxBAZWDeNA
active,Misc Science Commentary,social science,,,http://www.youtube.com/@TheEconomist,UC0p5jTq6Xx_DosDFxVXnWaQ
active,Misc Science Commentary,physical science,talking head,,http://www.youtube.com/@Physics4Life,UCHa0gEhM-eCT6a0B1w_ZVrw
active,Misc Science Commentary,social science,talking head,,http://www.youtube.com/@ibx2cat,UCJVnko6tQ56PYB5BNNChPGg
active,Misc Science Commentary,media / pop culture,,,https://www.youtube.com/@FractalPhilosophy,UCDRhoKKIzUZrJPzLCHo9s-w
active,Comedy and the Like,comedy,walkabout,,https://www.youtube.com/@JoePeraComedy/,UCfBAKxelvdN2XDFBcofx7Dg
active,Comedy and the Like,comedy,talking head,,http://www.youtube.com/@JennaMarbles,UC9gFih9rw0zNCK3ZtoKQQyA
active,Comedy and the Like,comedy,chaotic,,http://www.youtube.com/@TheAuntyDonnaChannel,UC_mneEC0wc29EGGmIsN_xLA
active,Comedy and the Like,toys and games,chaotic,,http://www.youtube.com/@TheDragonsTomb,UC3izYCSBcfi2LfdIr-qg0gQ
